Subsystem Level 1	buccal_mucosa__SRS023837_PEAR_clean.fna  Relative Abundance (%)	buccal_mucosa__SRS015374_PEAR_clean.fna  Relative Abundance (%)	vaginal_introitus__SRS014465_PEAR_clean.fna  Relative Abundance (%)	throat__SRS015062_PEAR_clean.fna  Relative Abundance (%)	vaginal_introitus__SRS062752_PEAR_clean.fna  Relative Abundance (%)	vaginal_introitus__SRS015071_PEAR_clean.fna  Relative Abundance (%)	buccal_mucosa__SRS016297_PEAR_clean.fna  Relative Abundance (%)	throat__SRS014475_PEAR_clean.fna  Relative Abundance (%)	throat__SRS065335_PEAR_clean.fna  Relative Abundance (%)
Amino Acids and Derivatives	7.33790856	7.457978858	4.91810763	7.848349465	4.832426506	6.109992679	7.395856476	7.816840968	8.014261511
Arabinose Sensor and transport module	6.06E-05	0	0	0	0	0	0	0	0
Carbohydrates	14.32007608	13.86185278	14.01244079	10.25950612	13.68230142	12.21907028	14.33209287	10.93444706	12.24387665
Cell Division and Cell Cycle	1.181341313	1.06738746	2.706157621	1.267921648	2.680534416	2.334370425	0.950622084	1.244851163	0.844114213
Cell Wall and Capsule	5.798463887	5.387535725	6.41556811	6.24584652	6.784437563	5.910505124	5.680682071	6.154604671	5.422227939
Central metabolism	0.210125263	0.215468136	0.21457513	0.194432199	0.199006281	0.194912152	0.214396801	0.174649592	0.242381367
Clustering-based subsystems	6.913478545	6.83148089	8.520230554	6.577631414	8.575785674	8.295204978	6.293323706	6.400470602	5.394894717
Cofactors, Vitamins, Prosthetic Groups, Pigments	8.356068132	8.544856596	6.753409804	9.798922234	5.97485377	6.594070278	8.42340591	9.918114254	8.129623786
DNA Metabolism	7.252743925	7.277156251	8.974490669	8.530671597	8.127912198	8.392203514	6.612419462	8.220791519	5.722692403
Dormancy and Sporulation	0.088496111	0.067487686	0.095873994	0.050828722	0.113572083	0.097913616	0.067485003	0.043434141	0.053862526
Fatty Acids, Lipids, and Isoprenoids	1.977624597	2.040063271	2.158306226	2.28959541	2.283688191	2.13579795	1.787102866	2.092012553	1.580302394
Iron acquisition and metabolism	0.335267608	0.546143925	0.344689836	0.794507208	0.371478391	0.674414348	0.509608976	0.861248138	0.606154397
Membrane Transport	1.814685145	1.574550831	3.062261028	2.873220995	2.844113205	2.556734993	2.671073095	2.105055838	3.156183237
Metabolism of Aromatic Compounds	0.033133041	0.039153956	0.041088855	0.152486166	0.099721829	0.292825769	0.075261053	0.06534686	0.09466138
Miscellaneous	3.99777094	3.977299723	3.727672202	3.368019687	3.322748823	3.508418741	3.570595423	3.773552913	3.437353662
Motility and Chemotaxis	0.373307005	0.341461334	0.238543628	0.84648739	0.34086204	0.678074671	0.424072428	0.743075972	0.538826239
Nitrogen Metabolism	0.206490926	0.306260922	0.018261713	0.533125851	0.032220064	0.168374817	0.564041324	0.62829506	1.221553853
Nucleosides and Nucleotides	4.730453323	4.160341864	4.552873366	2.852001237	4.527720919	4.509516837	3.900522106	2.705959999	3.744048492
Phages, Prophages, Transposable elements	0.075170208	0.040367763	0.006848142	0.01085662	0.021868822	0.004575403	0.042768274	0.025956138	0.006833306
Phages, Prophages, Transposable elements, Plasmids	0.630072929	0.444461553	0.357244764	1.470907548	0.535494556	0.393484627	0.765940902	0.493688354	1.296318255
Phosphorus Metabolism	0.668354614	0.751069278	1.22467614	0.696139649	1.298424862	1.249084919	0.56154188	0.812857549	0.380253355
Photosynthesis	0.012235602	0.010542783	0.001141357	0.036846711	0.00204109	0.002745242	0.005554321	0.037825528	0.003014694
Potassium metabolism	0.62559058	0.678795723	0.752154311	0.523420691	0.808417455	0.9022694	0.540990891	0.650468645	0.494811712
Predictions based on plant-prokaryote comparative analysis	0.466467182	0.454206692	0.365234264	0.308920194	0.502545531	0.388909224	0.33298156	0.358168618	0.219670675
Protein Metabolism	10.84946575	11.01665378	12.93043429	11.35108994	12.57661377	12.42404832	11.79571206	10.91227347	12.8180753
RNA Metabolism	8.300583917	8.666410727	6.259202191	7.685664655	6.198790508	7.11749634	8.102921573	8.234486968	8.158363865
Regulation and Cell signaling	1.717224336	1.548124512	2.384294927	1.219889328	2.460388274	1.989385066	1.375249944	1.410500888	1.258132136
Respiration	1.193940348	1.851298895	0.826342521	3.702436489	2.069082151	1.937225476	2.47389469	4.098069855	4.643834047
Secondary Metabolism	0.004603494	0.001525929	0.081036352	0.002467414	0.113280498	0.083272328	0.056376361	0.003521687	0.057681138
Stress Response	4.117098345	4.211633892	3.555327284	3.988820971	3.565201164	3.946742313	4.072428349	4.158721132	4.066017771
Sulfur Metabolism	1.069948877	1.154816266	0.65513896	0.575400872	0.675309225	0.732979502	1.215563208	0.778814574	1.026804646
Transcriptional regulation	0.355801614	0.362685621	0.356103407	0.324711642	0.389702409	0.358711567	0.298267052	0.311864955	0.275342017
Virulence	4.198870933	4.398386815	3.079381384	3.385291583	3.573511316	3.473645681	4.309042435	3.500687381	4.535305077
Virulence, Disease and Defense	0.787076297	0.712539566	0.410888546	0.233581829	0.415944996	0.323023426	0.578204843	0.329342958	0.312523238
