Primary key	Level 1	Level 2	Level 3/Subsystem Name
55	Amino Acids and Derivatives	Alanine, serine, and glycine	Sarcosine oxidases, monomeric and heterotetrameric
56	Amino Acids and Derivatives	Alanine, serine, and glycine	Sarcosine temp
62	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis
189	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine anaerobic catabolism gene cluster
190	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine and Homoserine Biosynthesis
191	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine degradation
231	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan catabolism
232	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan metabolism in plants
233	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan synthesis
249	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tyrosine and phenylalanine metabolism in plants
276	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea decomposition
277	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urease subunits
283	Amino Acids and Derivatives	Branched-chain amino acids	Valine degradation
303	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Bacilysin biosynthesis
423	Amino Acids and Derivatives	Branched-chain amino acids	Branched chain amino acid degradation regulons
424	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis
425	Amino Acids and Derivatives	Branched-chain amino acids	Branched-chain amino acid metabolism in plants
466	Amino Acids and Derivatives	Proline and 4-hydroxyproline	A Hypothetical Protein Related to Proline Metabolism
506	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	CBSS-84588.1.peg.1247
572	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate Synthesis
574	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Cinnamic Acid Degradation
602	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)
615	Amino Acids and Derivatives	-	Creatine and Creatinine Degradation
624	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Cyanophycin Metabolism
626	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Cysteine Biosynthesis
627	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Cysteine Biosynthesis, MCB 432
646	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	D-nopaline catabolic operon
784	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Glutamate dehydrogenases
